poc_id,tool_id,time_to_mvp_days
POC001,mistral_7b_local,6.5
POC001,promptfoo,5.79
POC001,faiss_local,6.85
POC001,deepseek_coder_6.7b_local,10.75
POC001,langchain,5.02
POC001,qdrant_local,10.83
POC002,milvus_local,11.65
POC002,faiss_local,7.58
POC002,guardrails_py,8.44
POC002,llamaindex,5.11
POC002,llama3_8b_local,8.95
POC002,mistral_7b_local,7.45
POC003,langgraph,8.6
POC003,llama3_8b_local,9.66
POC003,deepeval,7.01
POC003,mistral_7b_local,9.14
POC003,outlines,9.47
POC003,faiss_local,9.8
POC004,qdrant_local,12.66
POC004,nemo_guardrails,10.35
POC004,faiss_local,9.48
POC004,deepeval,9.19
POC004,llamaindex,6.93
POC004,mistral_7b_local,9.7
POC005,langchain,9.58
POC005,ragas,12.83
POC005,mistral_7b_local,12.45
POC005,deepseek_coder_6.7b_local,13.07
POC005,qdrant_local,12.99
POC005,llamaindex,7.35
POC006,qdrant_local,9.9
POC006,mistral_7b_local,6.6
POC006,guardrails_py,8.39
POC006,milvus_local,11.65
POC006,llamaindex,5.84
POC006,promptfoo,6.47
POC007,milvus_local,13.39
POC007,llamaindex,6.22
POC007,guardrails_py,10.18
POC007,promptfoo,5.24
POC007,qdrant_local,10.97
POC007,ragas,9.04
POC008,promptfoo,5.89
POC008,faiss_local,7.75
POC008,deepseek_coder_6.7b_local,10.47
POC008,outlines,7.14
POC008,milvus_local,10.6
POC008,guardrails_py,7.75
POC009,haystack,6.95
POC009,promptfoo,4.67
POC009,deepeval,6.51
POC009,qdrant_local,8.36
POC009,qwen2.5_7b_local,5.27
POC009,guardrails_py,7.54
POC010,langgraph,10.19
POC010,mistral_7b_local,9.95
POC010,llama3_8b_local,13.93
POC010,ragas,10.21
POC010,outlines,9.21
POC010,milvus_local,14.31
POC011,langchain,6.12
POC011,llama3_8b_local,10.2
POC011,haystack,7.47
POC011,deepseek_coder_6.7b_local,9.94
POC011,nemo_guardrails,8.15
POC011,qdrant_local,10.28
POC012,qdrant_local,9.5
POC012,langchain,5.9
POC012,mistral_7b_local,9.35
POC012,llama3_8b_local,9.93
POC012,langgraph,7.95
POC012,promptfoo,5.72
POC013,guardrails_py,9.32
POC013,outlines,6.4
POC013,milvus_local,12.13
POC013,ragas,8.01
POC013,qdrant_local,9.63
POC013,llamaindex,6.58
POC014,milvus_local,15.6
POC014,llama3_8b_local,11.55
POC014,qdrant_local,11.41
POC014,guardrails_py,11.21
POC014,deepeval,8.39
POC014,qwen2.5_7b_local,7.78
POC015,llamaindex,7.83
POC015,mistral_7b_local,11.16
POC015,langchain,7.97
POC015,promptfoo,9.39
POC015,deepseek_coder_6.7b_local,12.68
POC015,deepeval,8.81
